,Name,Price,Selldate,Public Year,Mileage,Origin,Bodytype,Seats,City,Year,Fueltype,Engine,Manufacturer
0,Hyundai Accent 1.4 AT Dac Biet,465,4/11/2024,2022,31000,Lap rap,Sedan,5,Ha Noi,2,Xang,1400,Hyundai
1,Hyundai Accent 1.4 AT Dac Biet,465,4/11/2024,2022,31000,Lap rap,Sedan,5,Ha Noi,2,Xang,1400,Hyundai
2,Hyundai SantaFe Cao cap 2.2L HTRAC,1090,4/11/2024,2021,47000,Lap rap,SUV,7,Ha Noi,3,Dau,2200,Hyundai
3,Hyundai SantaFe Cao cap 2.2L HTRAC,1090,4/11/2024,2021,47000,Lap rap,SUV,7,TP HCM,3,Dau,2200,Hyundai
4,MG 5 Standard 1.5 AT,410,4/11/2024,2022,25000,Nhap khau,Sedan,5,TP HCM,2,Xang,1500,MG
5,MG 5 Standard 1.5 AT,410,4/11/2024,2022,25000,Nhap khau,Sedan,5,Hai Phong,2,Xang,1500,MG
12,Hyundai Accent 1.4 AT Dac Biet,465,4/11/2024,2022,31000,Lap rap,Sedan,5,Ha Noi,2,Xang,1400,Hyundai
13,Hyundai Accent 1.4 AT Dac Biet,465,4/11/2024,2022,31000,Lap rap,Sedan,5,Ha Noi,2,Xang,1400,Hyundai
14,Toyota Innova 2.0E,530,4/11/2024,2019,60800,Lap rap,Crossover,8,Dak Lak,5,Xang,2000,Toyota
15,Toyota Innova 2.0E,530,4/11/2024,2019,60800,Lap rap,Crossover,8,Ha Noi,5,Xang,2000,Toyota
16,Mercedes Benz C class C200 Exclusive,1159,4/11/2024,2021,23000,Lap rap,Sedan,5,TP HCM,3,Xang,2000,Mercedes
17,Mercedes Benz C class C200 Exclusive,1159,4/11/2024,2021,23000,Lap rap,Sedan,5,TP HCM,3,Xang,2000,Mercedes
25,Ford Ranger XLS 2.2L 4x2 AT,579,4/11/2024,2021,46000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2200,Ford
26,Hyundai Accent 1.4 AT Dac Biet,465,4/11/2024,2022,31000,Lap rap,Sedan,5,Dak Lak,2,Xang,1400,Hyundai
28,Toyota Corolla Cross 1.8G,670,4/11/2024,2022,59347,Nhap khau,SUV,5,TP HCM,2,Xang,1800,Toyota
31,Ford Ranger XLS 2.2L 4x2 AT,579,4/11/2024,2021,46000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2200,Ford
36,Ford Ranger XLS 2.2L 4x2 AT,579,4/11/2024,2021,46000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2200,Ford
40,Ford Ranger XLS 2.2L 4x2 AT,579,4/11/2024,2021,46000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2200,Ford
41,Hyundai Accent 1.4 AT Dac Biet,465,4/11/2024,2022,31000,Lap rap,Sedan,5,Dak Lak,2,Xang,1400,Hyundai
43,Toyota Corolla Cross 1.8G,670,4/11/2024,2022,59347,Nhap khau,SUV,5,TP HCM,2,Xang,1800,Toyota
44,Toyota Innova 2.0E,530,4/11/2024,2019,60800,Lap rap,Crossover,8,TP HCM,5,Xang,2000,Toyota
45,Mercedes Benz C class C200 Exclusive,1159,4/11/2024,2021,23000,Lap rap,Sedan,5,Hai Phong,3,Xang,2000,Mercedes
49,Ford Ranger XLS 2.2L 4x2 AT,579,4/11/2024,2021,46000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2200,Ford
50,Hyundai Accent 1.4 AT Dac Biet,465,4/11/2024,2022,31000,Lap rap,Sedan,5,Dak Lak,2,Xang,1400,Hyundai
54,Ford Ranger XLS 2.2L 4x2 AT,579,4/11/2024,2021,46000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2200,Ford
55,Hyundai Accent 1.4 AT Dac Biet,465,4/11/2024,2022,31000,Lap rap,Sedan,5,Dak Lak,2,Xang,1400,Hyundai
57,Toyota Innova 2.0E,530,4/11/2024,2019,60800,Lap rap,Crossover,8,TP HCM,5,Xang,2000,Toyota
58,Toyota Corolla Cross 1.8G,670,4/11/2024,2022,59347,Nhap khau,SUV,5,TP HCM,2,Xang,1800,Toyota
59,Mercedes Benz C class C200 Exclusive,1159,4/11/2024,2021,23000,Lap rap,Sedan,5,Hai Phong,3,Xang,2000,Mercedes
60,Hyundai SantaFe Cao cap 2.2L HTRAC,1090,4/11/2024,2021,47000,Lap rap,SUV,7,Ha Noi,3,Dau,2200,Hyundai
