Name,Price,SellDate,Date,Condition,Mileage,Origin,Body Type,Engine Type,Color,Color inside,Seats,Doors,City
Xe Hyundai Accent 1.4 AT Dac Biet 2022 - 465 Trieu,465 Trieu,4/11/2024,2022,Xe da dung,"31,000 Km",Lap rap trong nuoc,Sedan,Xang 1.4 L,Cat,Kem,5 cho,4 cua,Ha Noi
Xe Hyundai Accent 1.4 AT Dac Biet 2022 - 465 Trieu,465 Trieu,4/11/2024,2022,Xe da dung,"31,000 Km",Lap rap trong nuoc,Sedan,Xang 1.4 L,Cat,Kem,5 cho,4 cua,Ha Noi
Xe Hyundai SantaFe Cao cap 2.2L HTRAC 2021 - 1 Ty 90 Trieu,1 Ty 90 Trieu,4/11/2024,2021,Xe da dung,"47,000 Km",Lap rap trong nuoc,SUV,Dau 2.2 L,Trang,Nau,7 cho,5 cua,Ha Noi
Xe Hyundai SantaFe Cao cap 2.2L HTRAC 2021 - 1 Ty 90 Trieu,1 Ty 90 Trieu,4/11/2024,2021,Xe da dung,"47,000 Km",Lap rap trong nuoc,SUV,Dau 2.2 L,Trang,Nau,7 cho,5 cua,TP HCM
Xe MG 5 Standard 1.5 AT 2022 - 410 Trieu,410 Trieu,4/11/2024,2022,Xe da dung,"25,000 Km",Nhap khau,Sedan,Xang 1.5 L,Den,Den,5 cho,4 cua,TP HCM
Xe MG 5 Standard 1.5 AT 2022 - 410 Trieu,410 Trieu,4/11/2024,2022,Xe da dung,"25,000 Km",Nhap khau,Sedan,Xang 1.5 L,Den,Den,5 cho,4 cua,Hai Phong
Xe Mazda 2 Luxury 2024 - 499 Trieu,499 Trieu,3/11/2024,2024,Xe moi,Nhap khau,Sedan,Xang 1.5 L,Do,Den,5 cho,4 cua,,TP HCM
Xe Mazda 2 Luxury 2024 - 499 Trieu,499 Trieu,3/11/2024,2024,Xe moi,Nhap khau,Sedan,Xang 1.5 L,Do,Den,5 cho,4 cua,,TP HCM
Xe Honda HRV G 2024 - 654 Trieu,654 Trieu,4/11/2024,2024,Xe moi,Nhap khau,Crossover,Xang 1.5 L,Trang,Den,5 cho,5 cua,,TP HCM
Xe Honda HRV G 2024 - 654 Trieu,654 Trieu,4/11/2024,2024,Xe moi,Nhap khau,Crossover,Xang 1.5 L,Trang,Den,5 cho,5 cua,,TP HCM
